video_id,artist,title
4,Moon Duo,Killing Time
4, The Holydrug Couple,Motorcycle RideBlack Jam Revisted
4,Still Corners,Submarine
4,Dana Valery,You Don’t Know Where You Interest Lies
4,Battles,Race Out
5, Doris Day,Tea For Two
5, Belle & Sebastian,Simple Things
5, The Delgados,Coming in From the Cold
5, Sixto Rodriguez,Sugarman
5, DJ Louis Slipperz,Intro Song
5, Skinnyman,I’ll Be Surprised
5, Gunter Kallman Choir,Daydream
5, Badly Drawn Boy,Year of the Rat
5, The Stranglers,Duchess
5, Bob James,Angela
5, The Rolling Stones,Heartbreaker
5, The Cult,She Sells Sanctuary
5, The Cure,Six Different Ways
5, The Aliens,I Am The Unknown
5, Jackie DeShannon,Put a Little Love in Your Heart
5, Three Dog Night,One
5, The Soundtrack of Our Lives,Midnight Children
5, Yes,Sweetness
5, Her Space Holiday,Tech Romance
5, Travis,Love Will Come Through
5, The Coral,Careless Hands
5, The Apples In Stereo,Strawberry
5, Shocking Blue,Send Me A Postcard
5, The Apples In Stereo,Strawberry
5, Kristin Hersh & Michael Stipe,Your Ghost
5, Mark Jackson,Super Sugarman Remix
8, M83,Asterick
8, The Rolling Stones,Mother’s Little Helper
8, Ish Marquez,Gin Is Not My Friend
8, The Charlatans,Bona Fide Treasure
8, Ghostface Killah,Fish
8, Happy Mondays,Kinky Afro
8, The Go! Team,Everyone’s a VIP to Someone
22, The Beach Boys,Three Blind Mice
22, They Might Be Giants,Birdhouse In Your Soul
22, Procol Harum,A Christmas Camel
22, Junior’s Eyes,Subway Smokey Pokey World
22, Mazzy Star,Blue Flower
22, The Beach Boys,Wind Chimes
22, Joy Zipper,Wave Of Mutilation
22, The Beach Boys,Good Vibrations’ Closing Bit
22, King Crimson,In The Court Of The Crimson King
22, Jimmy James & The Vagabonds,Red Red Wine
22, Aluminum Dream,Strangers Calling
22, Cheap Trick,O Claire
22, Jacques Dutronc,Hippie Hippie Hourra
22, Nina Simone,I Can’t See Nobody
22, Sixto Rodriguez,Only Good For Conversation
22, The Breeders,No Aloha
22, Portishead,Sour Times
22, The Minders,Hand On Heart
22, The Kinks,Village Green Instrumental
22, Max Bygraves,‘Fings Ain’t Wot They Used T’Be
27, Sigue Sigue Sputnik,Love Missile F111
27, Mudhoney,Hate The Police
27, The Go! Team,Huddle Formation
27, Metalucifer,Heavy Metal Samurai
27, Huggy Bear,Tee Shirt Tucked In
27, GWAR,The Salaminizer
27, GG Allin,I Wanna Fuck Myself
27, Soft Cell,Sex Dwarf
27, Adam Ant,Stand And Deliver
27, Morrissey,Why Don’t You Find Out For Yourself
27, Katrina And The Waves,Walking On Sunshine
34, Gene Krupa,Grandfather’s Clock
34, Sam Cooke,Grandfather’s Clock
34, Rampage,Beware Of The Rampsack
34, Shirley Bassey,Jezahel
34, Felius Andromeda,Cheadle Heath Delusions
34, The The,Perfect Soul Mining single
34, Iggy Pop,Tonight
34, Ultimate Spinach,Ballad Of The Hip Death Goddess
34, The Beatles,You Know My Name
34, The Boo Radleys,Kaleidoscope
34, Kate Bush,Running Up That Hill
34, PP Arnold,The First Cut Is The Deepest
34, The Fall,A Day In The Life
34, Gene Krupa,Grandfather’s Clock
35,
35,Elliott Smith,In The Lost & Found
35,,Tired Of Waiting For You
45,The Get Up Kids,Mass Pike
45,GZAGenius,Breaker Breaker
45,Modest Mouse,Polar Opposites
45,Brand Nubian,Don’t Let It Go To Your Head
45,Slick Rick,Street Talkin’ feat OutKast
45,Misfits,Earth AD
45,DJ JaOne & DJ Spinbad,Itchy Vinyl Session Part 2
45,Blur,Coffee & TV
46, Mr Scruff,Chipmunk
46, Mama Cass,California Earthquake
46, LMNO,Grin & Bear It
46, Souls of Mischief,Cab Fare
46, Elliott Smith,Happiness
46, Bob Dylan,Like A Rolling Stone
46, OC,Time’s Up
46, The Seahorses,You Can Talk To Me
46, Common,The 6th Sense
47, Henry Mancini And His Orchestra,Something For Cat
47, Dusty Springfield,Son Of A Preacher Man
47, Booker T and the MG’s,SoulLimbo
47, Curtis Mayfield,Think
57, Hard Skin,We Are The Wankers
57, Dexy’s Midnight Runners,Jackie Wilson Said I’m In Heaven When You Smile
57, Gentlemen,Rumours
57, Phil Collins,Easy Lover
57, The Cure,Boys Don’t Cry
57, Queen,Hammer to Fall
57, The Stranglers,Golden Brown
57, Cypress Hill,Hits From The Bong
57, Electric Light Orchestra,Secret Messages
57, Jackie Wilson,Higher & Higher
57, Cock Sparrer,Working
57, Robert Palmer,Johnny and Mary
57, Van Morrison,Wild Night
57, The Attack,Too Old
57, The Rolling Stones,Jumpin’ Jack Flash
57, Gloria Jones,Tainted Love
57, The Damned,Smash It Up
60,Beethoven,Moonlight Sonata
60,Nitzer Ebb,Godhead
60, Skatemaster Tate,Joe’s Jam
62, Do Make Say Think,Horns Of A Rabbit
62, Zerben R Hicks & The Dynamics,Lights Out
62, The Supremes,Stoned Love
62, Drapers,The Love I Had
62, Do Make Say Think,Goodbye Enemy Airship
62, DJ Scream Feat Rick Ross,National Champs
62, Do Make Say Think,Frederica
62, Yes,Beyond And Before
62, John Cooper Clarke,PostWar Glamour Girl
62, John Dummer,Love Ain’t Nothing But Sorrow Blues Band
62, Stinkin’ Slumrok X Sam Zircon,Microphone Junkie
62, Giggs,Hustle On Video Version
68, Amon Dl II,Jail House Frog
68, Iron Claw,Pavement Artist
68, Brotha Lynch Hung,Rest in Piss
68, Icecross,Jesus Freaks
68, Witch,Changing
68, MC5,Over and Over
68, GOD,My Pal
68, Dark,Zero Time
68, The Rolling Stones,2000 Lightyears From Home
68, Louis Armstrong,What A Wonderful World
68, Devo,SIB Swelling Itching Brain
69, Gustavo Santaolalla,Apertura
69, Blonde Redhead,Elephant Woman
69, The Buzzcocks,Harmony In My Head
69, Caribou,Pelican Narrows
69, Shout Out Louds,Never Ever
